id,truth,units,category,source,as_of,notes
BRA__SP.POP.TOTL,210306415,people,demographics,World Bank,2022,"Total population — Brazil, 2022"
CAN__SP.POP.TOTL,38935934,people,demographics,World Bank,2022,"Total population — Canada, 2022"
CHN__SP.POP.TOTL,1412175000,people,demographics,World Bank,2022,"Total population — China, 2022"
DEU__SP.POP.TOTL,83177813,people,demographics,World Bank,2022,"Total population — Germany, 2022"
DNK__SP.POP.TOTL,5903037,people,demographics,World Bank,2022,"Total population — Denmark, 2022"
EST__SP.POP.TOTL,1348840,people,demographics,World Bank,2022,"Total population — Estonia, 2022"
FIN__SP.POP.TOTL,5556106,people,demographics,World Bank,2022,"Total population — Finland, 2022"
FRA__SP.POP.TOTL,68184457,people,demographics,World Bank,2022,"Total population — France, 2022"
GBR__SP.POP.TOTL,67604000,people,demographics,World Bank,2022,"Total population — United Kingdom, 2022"
IND__SP.POP.TOTL,1425423212,people,demographics,World Bank,2022,"Total population — India, 2022"
ISL__SP.POP.TOTL,382003,people,demographics,World Bank,2022,"Total population — Iceland, 2022"
JPN__SP.POP.TOTL,125124989,people,demographics,World Bank,2022,"Total population — Japan, 2022"
KEN__SP.POP.TOTL,54252461,people,demographics,World Bank,2022,"Total population — Kenya, 2022"
KOR__SP.POP.TOTL,51672569,people,demographics,World Bank,2022,"Total population — Korea, Rep., 2022"
NGA__SP.POP.TOTL,223150896,people,demographics,World Bank,2022,"Total population — Nigeria, 2022"
NLD__SP.POP.TOTL,17700982,people,demographics,World Bank,2022,"Total population — Netherlands, 2022"
NOR__SP.POP.TOTL,5457127,people,demographics,World Bank,2022,"Total population — Norway, 2022"
POL__SP.POP.TOTL,36821749,people,demographics,World Bank,2022,"Total population — Poland, 2022"
SWE__SP.POP.TOTL,10486941,people,demographics,World Bank,2022,"Total population — Sweden, 2022"
USA__SP.POP.TOTL,334017321,people,demographics,World Bank,2022,"Total population — United States, 2022"
BRA__NY.GDP.MKTP.CD,1951923832083.87,usd,economics,World Bank,2022,"GDP (current US$) — Brazil, 2022"
CAN__NY.GDP.MKTP.CD,2190411080134.32,usd,economics,World Bank,2022,"GDP (current US$) — Canada, 2022"
CHN__NY.GDP.MKTP.CD,18316765021690.2,usd,economics,World Bank,2022,"GDP (current US$) — China, 2022"
DEU__NY.GDP.MKTP.CD,4201021706478.62,usd,economics,World Bank,2022,"GDP (current US$) — Germany, 2022"
DNK__NY.GDP.MKTP.CD,400114306337.077,usd,economics,World Bank,2022,"GDP (current US$) — Denmark, 2022"
EST__NY.GDP.MKTP.CD,38226641740.29,usd,economics,World Bank,2022,"GDP (current US$) — Estonia, 2022"
FIN__NY.GDP.MKTP.CD,280253099309.34,usd,economics,World Bank,2022,"GDP (current US$) — Finland, 2022"
FRA__NY.GDP.MKTP.CD,2794788137066.94,usd,economics,World Bank,2022,"GDP (current US$) — France, 2022"
GBR__NY.GDP.MKTP.CD,3181244350465.41,usd,economics,World Bank,2022,"GDP (current US$) — United Kingdom, 2022"
IND__NY.GDP.MKTP.CD,3346107287730.93,usd,economics,World Bank,2022,"GDP (current US$) — India, 2022"
ISL__NY.GDP.MKTP.CD,29166102877.2755,usd,economics,World Bank,2022,"GDP (current US$) — Iceland, 2022"
JPN__NY.GDP.MKTP.CD,4262463317796.53,usd,economics,World Bank,2022,"GDP (current US$) — Japan, 2022"
KEN__NY.GDP.MKTP.CD,114448978152.637,usd,economics,World Bank,2022,"GDP (current US$) — Kenya, 2022"
KOR__NY.GDP.MKTP.CD,1799363116866.52,usd,economics,World Bank,2022,"GDP (current US$) — Korea, Rep., 2022"
NGA__NY.GDP.MKTP.CD,646950257577.814,usd,economics,World Bank,2022,"GDP (current US$) — Nigeria, 2022"
NLD__NY.GDP.MKTP.CD,1046540797548.64,usd,economics,World Bank,2022,"GDP (current US$) — Netherlands, 2022"
NOR__NY.GDP.MKTP.CD,596297651035.798,usd,economics,World Bank,2022,"GDP (current US$) — Norway, 2022"
POL__NY.GDP.MKTP.CD,695607470875.276,usd,economics,World Bank,2022,"GDP (current US$) — Poland, 2022"
SWE__NY.GDP.MKTP.CD,575071237640.921,usd,economics,World Bank,2022,"GDP (current US$) — Sweden, 2022"
USA__NY.GDP.MKTP.CD,25604848907611,usd,economics,World Bank,2022,"GDP (current US$) — United States, 2022"
BRA__NY.GDP.PCAP.CD,9281.33282136864,usd,economics,World Bank,2022,"GDP per capita (current US$) — Brazil, 2022"
CAN__NY.GDP.PCAP.CD,56256.8007264015,usd,economics,World Bank,2022,"GDP per capita (current US$) — Canada, 2022"
CHN__NY.GDP.PCAP.CD,12970.6056414327,usd,economics,World Bank,2022,"GDP per capita (current US$) — China, 2022"
DEU__NY.GDP.PCAP.CD,50506.5179638543,usd,economics,World Bank,2022,"GDP per capita (current US$) — Germany, 2022"
DNK__NY.GDP.PCAP.CD,67781.0940939514,usd,economics,World Bank,2022,"GDP per capita (current US$) — Denmark, 2022"
EST__NY.GDP.PCAP.CD,28340.3826549406,usd,economics,World Bank,2022,"GDP per capita (current US$) — Estonia, 2022"
FIN__NY.GDP.PCAP.CD,50440.560224974,usd,economics,World Bank,2022,"GDP per capita (current US$) — Finland, 2022"
FRA__NY.GDP.PCAP.CD,40988.6396406579,usd,economics,World Bank,2022,"GDP per capita (current US$) — France, 2022"
