id,claude_sonnet,deepseek,gemini,mistral
BRA__SP.POP.TOTL,215300000,215000000,215313498,214000000
CAN__SP.POP.TOTL,38900000,38900000,38929902,38000000
CHN__SP.POP.TOTL,1412000000,1412000000,1411750000,1412000000
DEU__SP.POP.TOTL,83800000,83800000,84079811,83200000
DNK__SP.POP.TOTL,5900000,5900000,5903037,5900000
EST__SP.POP.TOTL,1330000,1330000,1348830,1360000
FIN__SP.POP.TOTL,5540000,5540000,5556880,5500000
FRA__SP.POP.TOTL,67750000,67800000,67971311,68000000
GBR__SP.POP.TOTL,67500000,67800000,66971411,67000000
IND__SP.POP.TOTL,1417000000,1417000000,1417173173,1412000000
ISL__SP.POP.TOTL,370000,380000,380930,376000
JPN__SP.POP.TOTL,124950000,125100000,125124989,125000000
KEN__SP.POP.TOTL,53000000,54000000,54027487,55000000
KOR__SP.POP.TOTL,51800000,51600000,51628117,51000000
NGA__SP.POP.TOTL,216700000,218000000,218541212,213000000
NLD__SP.POP.TOTL,17650000,17700000,17703098,17600000
NOR__SP.POP.TOTL,5430000,5500000,5457165,5400000
POL__SP.POP.TOTL,37500000,37700000,36821749,38000000
SWE__SP.POP.TOTL,10490000,10500000,10486941,10400000
USA__SP.POP.TOTL,333300000,333000000,333287557,332000000
BRA__NY.GDP.MKTP.CD,1.92e12,1.92e12,1920095988526,1869000000000
CAN__NY.GDP.MKTP.CD,2.14e12,2.16e12,2139840000000,2118000000000
CHN__NY.GDP.MKTP.CD,1.796e13,1.796e13,17963170521080,17960000000000
DEU__NY.GDP.MKTP.CD,4.08e12,4.07e12,4072191740248,4071000000000
DNK__NY.GDP.MKTP.CD,4.0e11,4.0e11,395403912000,380000000000
EST__NY.GDP.MKTP.CD,3.8e10,3.8e10,38100800000,36000000000
FIN__NY.GDP.MKTP.CD,2.8e11,2.8e11,280826000000,280000000000
FRA__NY.GDP.MKTP.CD,2.78e12,2.78e12,2782905328403,2778000000000
GBR__NY.GDP.MKTP.CD,3.09e12,3.07e12,3070667731888,3199000000000
IND__NY.GDP.MKTP.CD,3.39e12,3.4e12,3385089881935,3350000000000
ISL__NY.GDP.MKTP.CD,2.7e10,2.8e10,27841650000,28000000000
JPN__NY.GDP.MKTP.CD,4.23e12,4.26e12,4231141201886,4231000000000
KEN__NY.GDP.MKTP.CD,1.13e11,1.13e11,113420000000,113000000000
KOR__NY.GDP.MKTP.CD,1.67e12,1.67e12,1665245566580,1665000000000
NGA__NY.GDP.MKTP.CD,4.77e11,4.77e11,477386000000,477000000000
NLD__NY.GDP.MKTP.CD,1.01e12,1.01e12,991114000000,1010000000000
NOR__NY.GDP.MKTP.CD,5.8e11,5.79e11,579267000000,530000000000
POL__NY.GDP.MKTP.CD,6.9e11,6.9e11,688176000000,687000000000
SWE__NY.GDP.MKTP.CD,5.85e11,5.9e11,585939000000,580000000000
USA__NY.GDP.MKTP.CD,2.546e13,2.54e13,25462700000000,25460000000000
BRA__NY.GDP.PCAP.CD,8920,8900,8917.7,8700
CAN__NY.GDP.PCAP.CD,55000,55000,54966.2,55000
CHN__NY.GDP.PCAP.CD,12720,12700,12720.2,12700
DEU__NY.GDP.PCAP.CD,48700,48600,48432.5,49000
DNK__NY.GDP.PCAP.CD,68000,68000,66978.5,67000
EST__NY.GDP.PCAP.CD,28500,28000,28247.1,27000
FIN__NY.GDP.PCAP.CD,50800,51000,50531.0,51000
FRA__NY.GDP.PCAP.CD,41000,42000,40964.0,41000
GBR__NY.GDP.PCAP.CD,45800,45500,45850.4,47000
IND__NY.GDP.PCAP.CD,2390,2400,2388.6,2400
ISL__NY.GDP.PCAP.CD,73000,74000,73090.0,70000
JPN__NY.GDP.PCAP.CD,33850,34000,33815.3,34000
KEN__NY.GDP.PCAP.CD,2130,2100,2099.3,2100
KOR__NY.GDP.PCAP.CD,32250,32400,32254.6,32000
NGA__NY.GDP.PCAP.CD,2200,2200,2184.4,2200
NLD__NY.GDP.PCAP.CD,57200,57000,55985.4,58000
NOR__NY.GDP.PCAP.CD,106800,106000,106148.8,98000
POL__NY.GDP.PCAP.CD,18400,18300,18688.0,18000
SWE__NY.GDP.PCAP.CD,55770,56000,55873.2,56000
USA__NY.GDP.PCAP.CD,76400,76200,76398.6,76000
BRA__SP.DYN.LE00.IN,73.5,73.5,75.8,75.9
CAN__SP.DYN.LE00.IN,81.7,82.5,81.3,82.5
CHN__SP.DYN.LE00.IN,78.0,78.2,78.6,77.4
DEU__SP.DYN.LE00.IN,80.9,80.8,80.6,81.3
DNK__SP.DYN.LE00.IN,81.5,81.5,81.3,81.4
EST__SP.DYN.LE00.IN,78.0,78.2,78.1,78.8
FIN__SP.DYN.LE00.IN,81.5,82.0,81.2,82.3
FRA__SP.DYN.LE00.IN,82.5,82.5,82.2,82.5
GBR__SP.DYN.LE00.IN,80.9,81.0,80.7,81.2
IND__SP.DYN.LE00.IN,67.7,70.2,67.7,70.2
ISL__SP.DYN.LE00.IN,83.0,82.5,82.8,83.0
JPN__SP.DYN.LE00.IN,84.5,84.5,84.4,84.3
KEN__SP.DYN.LE00.IN,63.5,62.2,62.1,66.7
KOR__SP.DYN.LE00.IN,83.5,83.5,82.7,83.5
NGA__SP.DYN.LE00.IN,54.0,53.5,53.9,54.3
NLD__SP.DYN.LE00.IN,81.5,81.5,81.7,82.5
NOR__SP.DYN.LE00.IN,83.2,83.0,82.6,83.2
POL__SP.DYN.LE00.IN,76.5,78.5,76.5,76.1
SWE__SP.DYN.LE00.IN,83.0,83.0,83.1,83.0
USA__SP.DYN.LE00.IN,77.5,77.5,77.5,76.1
BRA__AG.SRF.TOTL.K2,8515770,8.52e6,8515767,8515767
CAN__AG.SRF.TOTL.K2,9984670,9.98e6,9984670,9984670
CHN__AG.SRF.TOTL.K2,9596960,9.6e6,9596961,9596960
DEU__AG.SRF.TOTL.K2,357580,357000,357580,357022
DNK__AG.SRF.TOTL.K2,42930,42920,42924,42933
EST__AG.SRF.TOTL.K2,45340,45230,45227,45227
FIN__AG.SRF.TOTL.K2,338440,338420,338424,338424
FRA__AG.SRF.TOTL.K2,551700,549000,549087,551695
GBR__AG.SRF.TOTL.K2,243610,243610,242495,242495
IND__AG.SRF.TOTL.K2,3287260,3.287e6,3287263,3287263
ISL__AG.SRF.TOTL.K2,103000,103000,103000,103000
JPN__AG.SRF.TOTL.K2,377970,378000,377930,377975
KEN__AG.SRF.TOTL.K2,580370,580000,580367,580367
KOR__AG.SRF.TOTL.K2,100210,100410,100430,100210
NGA__AG.SRF.TOTL.K2,923770,924000,923768,923768
NLD__AG.SRF.TOTL.K2,41850,41540,41543,41850
NOR__AG.SRF.TOTL.K2,323800,385000,385207,323802
POL__AG.SRF.TOTL.K2,312680,312700,312696,312696
SWE__AG.SRF.TOTL.K2,447420,528900,450295,450295
USA__AG.SRF.TOTL.K2,9372610,9.83e6,9833517,9372610
BRA__SP.DYN.IMRT.IN,12.4,13,11.2,14.0
CAN__SP.DYN.IMRT.IN,4.0,4.3,4.1,4.4
CHN__SP.DYN.IMRT.IN,5.5,5.4,4.9,5.4
DEU__SP.DYN.IMRT.IN,3.0,3.1,3.1,3.2
DNK__SP.DYN.IMRT.IN,3.0,3.1,3.0,3.4
EST__SP.DYN.IMRT.IN,2.0,2.5,1.8,3.6
FIN__SP.DYN.IMRT.IN,1.8,1.9,1.8,2.7
